id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_sampah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2229.42,TON/HARI,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,532.78,TON/HARI,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,924.26,TON/HARI,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2989.75,TON/HARI,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,614.65,TON/HARI,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,757.78,TON/HARI,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,245.15,TON/HARI,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,315.9,TON/HARI,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,831.43,TON/HARI,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,349.3,TON/HARI,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,381.0,TON/HARI,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1064.16,TON/HARI,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,643.43,TON/HARI,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,384.22,TON/HARI,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1193.26,TON/HARI,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1464.87,TON/HARI,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,975.52,TON/HARI,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,178.69,TON/HARI,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,2225.49,TON/HARI,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,689.36,TON/HARI,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,5242.58,TON/HARI,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,713.58,TON/HARI,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,4804.77,TON/HARI,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,3901.4,TON/HARI,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,1104.75,TON/HARI,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,599.53,TON/HARI,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,266.87,TON/HARI,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,2388.0,TON/HARI,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,571.0,TON/HARI,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,990.0,TON/HARI,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3203.0,TON/HARI,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,658.0,TON/HARI,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,812.0,TON/HARI,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,263.0,TON/HARI,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,338.0,TON/HARI,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,891.0,TON/HARI,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,374.0,TON/HARI,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,408.0,TON/HARI,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1146.0,TON/HARI,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,689.0,TON/HARI,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,412.0,TON/HARI,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1278.0,TON/HARI,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,1569.0,TON/HARI,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1045.0,TON/HARI,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,191.0,TON/HARI,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,2384.0,TON/HARI,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,746.0,TON/HARI,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,5644.0,TON/HARI,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,772.0,TON/HARI,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,5147.0,TON/HARI,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,4225.0,TON/HARI,2017
