nama_kabupaten_kota,tahun,total_jumlah_sampah
KABUPATEN BOGOR,2016,2229.42
KABUPATEN BOGOR,2017,2388.0
KABUPATEN BOGOR,2018,287.26
KABUPATEN BOGOR,2020,2173.05
KABUPATEN BOGOR,2021,701.0
KABUPATEN BOGOR,2022,1444.34
KABUPATEN BOGOR,2023,1444.34
KABUPATEN SUKABUMI,2016,532.78
KABUPATEN SUKABUMI,2017,571.0
KABUPATEN SUKABUMI,2018,336.4
KABUPATEN SUKABUMI,2020,734.32
KABUPATEN SUKABUMI,2021,261.2
KABUPATEN SUKABUMI,2022,292.64
KABUPATEN SUKABUMI,2023,312.64
KABUPATEN CIANJUR,2016,924.26
KABUPATEN CIANJUR,2017,990.0
KABUPATEN CIANJUR,2018,707.1
KABUPATEN CIANJUR,2020,692.72
KABUPATEN CIANJUR,2021,223.8
KABUPATEN CIANJUR,2022,453.24
KABUPATEN CIANJUR,2023,463.24
KABUPATEN BANDUNG,2016,2989.75
KABUPATEN BANDUNG,2017,3203.0
KABUPATEN BANDUNG,2018,2621.4
KABUPATEN BANDUNG,2020,661.72
KABUPATEN BANDUNG,2021,738.05
KABUPATEN BANDUNG,2022,401.85
KABUPATEN BANDUNG,2023,412.0
KABUPATEN GARUT,2016,614.65
KABUPATEN GARUT,2017,658.0
KABUPATEN GARUT,2018,2141.2
KABUPATEN GARUT,2020,794.22
KABUPATEN GARUT,2021,283.34
KABUPATEN GARUT,2022,223.24
KABUPATEN GARUT,2023,244.7
KABUPATEN TASIKMALAYA,2016,757.78
KABUPATEN TASIKMALAYA,2017,812.0
KABUPATEN TASIKMALAYA,2018,0.0
KABUPATEN TASIKMALAYA,2020,482.74
KABUPATEN TASIKMALAYA,2021,111.12
KABUPATEN TASIKMALAYA,2022,130.02
KABUPATEN TASIKMALAYA,2023,140.2
KABUPATEN CIAMIS,2016,245.15
KABUPATEN CIAMIS,2017,263.0
KABUPATEN CIAMIS,2018,172.6
KABUPATEN CIAMIS,2020,411.47
KABUPATEN CIAMIS,2021,115.2
KABUPATEN CIAMIS,2022,147.2
KABUPATEN CIAMIS,2023,147.2
KABUPATEN KUNINGAN,2016,315.9
KABUPATEN KUNINGAN,2017,338.0
KABUPATEN KUNINGAN,2018,0.0
KABUPATEN KUNINGAN,2020,394.49
KABUPATEN KUNINGAN,2021,290.3
KABUPATEN KUNINGAN,2022,262.0
KABUPATEN KUNINGAN,2023,268.0
KABUPATEN CIREBON,2016,831.43
KABUPATEN CIREBON,2017,891.0
KABUPATEN CIREBON,2018,250.0
KABUPATEN CIREBON,2020,765.32
KABUPATEN CIREBON,2021,170.15
KABUPATEN CIREBON,2022,200.0
KABUPATEN CIREBON,2023,337.5
KABUPATEN MAJALENGKA,2016,349.3
KABUPATEN MAJALENGKA,2017,374.0
KABUPATEN MAJALENGKA,2018,0.14
KABUPATEN MAJALENGKA,2020,310.9
KABUPATEN MAJALENGKA,2021,329.0
KABUPATEN MAJALENGKA,2022,114.0
KABUPATEN MAJALENGKA,2023,210.0
KABUPATEN SUMEDANG,2016,381.0
KABUPATEN SUMEDANG,2017,408.0
KABUPATEN SUMEDANG,2018,
KABUPATEN SUMEDANG,2020,263.88
KABUPATEN SUMEDANG,2021,503.02
KABUPATEN SUMEDANG,2022,134.0
KABUPATEN SUMEDANG,2023,235.0
KABUPATEN INDRAMAYU,2016,1064.16
KABUPATEN INDRAMAYU,2017,1146.0
KABUPATEN INDRAMAYU,2018,671.1
KABUPATEN INDRAMAYU,2020,732.24
KABUPATEN INDRAMAYU,2021,545.5
KABUPATEN INDRAMAYU,2022,534.3
KABUPATEN INDRAMAYU,2023,300.0
KABUPATEN SUBANG,2016,643.43
KABUPATEN SUBANG,2017,689.0
KABUPATEN SUBANG,2018,0.0
KABUPATEN SUBANG,2020,746.96
KABUPATEN SUBANG,2021,535.5
KABUPATEN SUBANG,2022,400.0
KABUPATEN SUBANG,2023,400.0
KABUPATEN PURWAKARTA,2016,384.22
KABUPATEN PURWAKARTA,2017,412.0
KABUPATEN PURWAKARTA,2018,75647.0
KABUPATEN PURWAKARTA,2020,283.43
KABUPATEN PURWAKARTA,2021,170.16
KABUPATEN PURWAKARTA,2022,142.79
KABUPATEN PURWAKARTA,2023,175.0
KABUPATEN KARAWANG,2016,1193.26
KABUPATEN KARAWANG,2017,1278.0
KABUPATEN KARAWANG,2018,880.0
KABUPATEN KARAWANG,2020,677.34
KABUPATEN KARAWANG,2021,449.2
KABUPATEN KARAWANG,2022,366.0
KABUPATEN KARAWANG,2023,331.0
KABUPATEN BEKASI,2016,1464.87
KABUPATEN BEKASI,2017,1569.0
KABUPATEN BEKASI,2018,1956.6
KABUPATEN BEKASI,2020,1064.93
KABUPATEN BEKASI,2021,568.44
KABUPATEN BEKASI,2022,686.14
KABUPATEN BEKASI,2023,722.0
KABUPATEN BANDUNG BARAT,2016,975.52
KABUPATEN BANDUNG BARAT,2017,1045.0
KABUPATEN BANDUNG BARAT,2018,391.5
KABUPATEN BANDUNG BARAT,2020,826.78
KABUPATEN BANDUNG BARAT,2021,144.8
KABUPATEN BANDUNG BARAT,2022,175.92
KABUPATEN BANDUNG BARAT,2023,160.0
KABUPATEN PANGANDARAN,2016,178.69
KABUPATEN PANGANDARAN,2017,191.0
KABUPATEN PANGANDARAN,2018,111.1
KABUPATEN PANGANDARAN,2020,183.63
KABUPATEN PANGANDARAN,2021,29.7
KABUPATEN PANGANDARAN,2022,53.76
KABUPATEN PANGANDARAN,2023,53.76
KOTA BOGOR,2016,2225.49
KOTA BOGOR,2017,2384.0
KOTA BOGOR,2018,0.0
KOTA BOGOR,2020,414.03
KOTA BOGOR,2021,534.5
KOTA BOGOR,2022,536.4
KOTA BOGOR,2023,550.0
KOTA SUKABUMI,2016,689.36
KOTA SUKABUMI,2017,746.0
KOTA SUKABUMI,2018,467.6
KOTA SUKABUMI,2020,131.97
KOTA SUKABUMI,2021,175.0
KOTA SUKABUMI,2022,133.02
KOTA SUKABUMI,2023,140.02
KOTA BANDUNG,2016,5242.58
KOTA BANDUNG,2017,5644.0
KOTA BANDUNG,2018,7060.8
KOTA BANDUNG,2020,1533.65
KOTA BANDUNG,2021,1430.04
KOTA BANDUNG,2022,1271.5
KOTA BANDUNG,2023,1364.0
KOTA CIREBON,2016,713.58
KOTA CIREBON,2017,772.0
KOTA CIREBON,2018,0.0
